identifier,title,field,year,areaType,areaCode,datum,zipFileUrl,zipFileSize
A09,都市地域,国土（水・土地）,2011,3,20,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_20_GML.zip,1.28MB
A09,都市地域,国土（水・土地）,2011,3,21,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_21_GML.zip,0.49MB
A09,都市地域,国土（水・土地）,2011,3,22,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_22_GML.zip,1.77MB
A09,都市地域,国土（水・土地）,2011,3,23,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_23_GML.zip,1.16MB
A09,都市地域,国土（水・土地）,2011,3,24,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_24_GML.zip,1.18MB
A09,都市地域,国土（水・土地）,2011,3,25,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_25_GML.zip,0.91MB
A09,都市地域,国土（水・土地）,2011,3,26,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_26_GML.zip,1.09MB
A09,都市地域,国土（水・土地）,2011,3,27,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_27_GML.zip,1.01MB
A09,都市地域,国土（水・土地）,2011,3,28,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_28_GML.zip,1.43MB
A09,都市地域,国土（水・土地）,2011,3,29,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_29_GML.zip,0.75MB
A09,都市地域,国土（水・土地）,2011,3,30,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_30_GML.zip,0.58MB
A09,都市地域,国土（水・土地）,2011,3,31,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_31_GML.zip,0.32MB
A09,都市地域,国土（水・土地）,2011,3,32,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_32_GML.zip,0.44MB
A09,都市地域,国土（水・土地）,2011,3,33,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_33_GML.zip,1.03MB
A09,都市地域,国土（水・土地）,2011,3,34,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_34_GML.zip,1.90MB
A09,都市地域,国土（水・土地）,2011,3,35,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_35_GML.zip,1.96MB
A09,都市地域,国土（水・土地）,2011,3,36,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_36_GML.zip,0.31MB
A09,都市地域,国土（水・土地）,2011,3,37,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_37_GML.zip,0.40MB
A09,都市地域,国土（水・土地）,2011,3,38,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_38_GML.zip,0.99MB
A09,都市地域,国土（水・土地）,2011,3,39,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_39_GML.zip,0.65MB
A09,都市地域,国土（水・土地）,2011,3,40,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_40_GML.zip,2.51MB
A09,都市地域,国土（水・土地）,2011,3,41,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_41_GML.zip,0.45MB
A09,都市地域,国土（水・土地）,2011,3,42,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_42_GML.zip,2.28MB
A09,都市地域,国土（水・土地）,2011,3,43,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_43_GML.zip,0.54MB
A09,都市地域,国土（水・土地）,2011,3,44,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_44_GML.zip,0.93MB
A09,都市地域,国土（水・土地）,2011,3,45,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_45_GML.zip,0.97MB
A09,都市地域,国土（水・土地）,2011,3,46,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_46_GML.zip,1.11MB
A09,都市地域,国土（水・土地）,2011,3,47,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_47_GML.zip,1.25MB
A10,自然公園地域,地域,2006,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_01_GML.zip,5.39MB
A10,自然公園地域,地域,2006,3,2,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_02_GML.zip,0.83MB
A10,自然公園地域,地域,2006,3,3,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_03_GML.zip,0.72MB
A10,自然公園地域,地域,2006,3,4,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_04_GML.zip,1.16MB
A10,自然公園地域,地域,2006,3,5,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_05_GML.zip,0.99MB
A10,自然公園地域,地域,2006,3,6,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_06_GML.zip,1.08MB
A10,自然公園地域,地域,2006,3,7,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_07_GML.zip,1.01MB
A10,自然公園地域,地域,2006,3,8,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_08_GML.zip,1.11MB
A10,自然公園地域,地域,2006,3,9,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_09_GML.zip,0.57MB
A10,自然公園地域,地域,2006,3,10,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_10_GML.zip,0.53MB
A10,自然公園地域,地域,2006,3,11,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_11_GML.zip,0.33MB
A10,自然公園地域,地域,2006,3,12,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_12_GML.zip,0.56MB
A10,自然公園地域,地域,2006,3,13,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_13_GML.zip,1.54MB
A10,自然公園地域,地域,2006,3,14,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_14_GML.zip,0.42MB
A10,自然公園地域,地域,2006,3,15,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_15_GML.zip,2.05MB
A10,自然公園地域,地域,2006,3,16,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_16_GML.zip,0.62MB
A10,自然公園地域,地域,2006,3,17,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_17_GML.zip,0.73MB
A10,自然公園地域,地域,2006,3,18,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_18_GML.zip,0.65MB
A10,自然公園地域,地域,2006,3,19,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_19_GML.zip,0.66MB
A10,自然公園地域,地域,2006,3,20,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_20_GML.zip,2.03MB
A10,自然公園地域,地域,2006,3,21,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_21_GML.zip,1.00MB
A10,自然公園地域,地域,2006,3,22,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_22_GML.zip,1.87MB
A10,自然公園地域,地域,2006,3,23,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_23_GML.zip,0.97MB
A10,自然公園地域,地域,2006,3,24,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_24_GML.zip,1.73MB
A10,自然公園地域,地域,2006,3,25,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_25_GML.zip,0.98MB
A10,自然公園地域,地域,2006,3,26,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_26_GML.zip,0.30MB
A10,自然公園地域,地域,2006,3,27,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_27_GML.zip,0.33MB
A10,自然公園地域,地域,2006,3,28,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_28_GML.zip,1.56MB
A10,自然公園地域,地域,2006,3,29,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_29_GML.zip,0.60MB
A10,自然公園地域,地域,2006,3,30,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_30_GML.zip,1.23MB
A10,自然公園地域,地域,2006,3,31,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_31_GML.zip,0.67MB
A10,自然公園地域,地域,2006,3,32,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_32_GML.zip,1.13MB
A10,自然公園地域,地域,2006,3,33,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_33_GML.zip,0.96MB
A10,自然公園地域,地域,2006,3,34,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_34_GML.zip,0.67MB
A10,自然公園地域,地域,2006,3,35,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_35_GML.zip,0.97MB
A10,自然公園地域,地域,2006,3,36,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_36_GML.zip,0.40MB
A10,自然公園地域,地域,2006,3,37,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_37_GML.zip,0.62MB
A10,自然公園地域,地域,2006,3,38,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_38_GML.zip,1.06MB
A10,自然公園地域,地域,2006,3,39,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_39_GML.zip,0.98MB
A10,自然公園地域,地域,2006,3,40,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_40_GML.zip,1.17MB
A10,自然公園地域,地域,2006,3,41,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_41_GML.zip,0.42MB
A10,自然公園地域,地域,2006,3,42,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_42_GML.zip,2.60MB
A10,自然公園地域,地域,2006,3,43,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_43_GML.zip,1.33MB
A10,自然公園地域,地域,2006,3,44,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_44_GML.zip,1.41MB
A10,自然公園地域,地域,2006,3,45,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_45_GML.zip,0.94MB
A10,自然公園地域,地域,2006,3,46,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_46_GML.zip,1.57MB
A10,自然公園地域,地域,2006,3,47,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_47_GML.zip,1.00MB
A10,自然公園地域,地域,2010,3,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_GML.zip,22.48MB
A10,自然公園地域,地域,2010,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_01_GML.zip,8.41MB
A10,自然公園地域,地域,2010,3,2,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_02_GML.zip,2.38MB
A10,自然公園地域,地域,2010,3,3,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_03_GML.zip,3.06MB
A10,自然公園地域,地域,2010,3,4,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_04_GML.zip,3.35MB
A10,自然公園地域,地域,2010,3,5,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_05_GML.zip,1.66MB
A10,自然公園地域,地域,2010,3,6,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_06_GML.zip,1.55MB
A10,自然公園地域,地域,2010,3,7,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_07_GML.zip,1.44MB
A10,自然公園地域,地域,2010,3,8,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_08_GML.zip,1.48MB
A10,自然公園地域,地域,2010,3,9,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_09_GML.zip,0.89MB
A10,自然公園地域,地域,2010,3,10,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_10_GML.zip,0.67MB
A10,自然公園地域,地域,2010,3,11,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_11_GML.zip,0.65MB
A10,自然公園地域,地域,2010,3,12,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_12_GML.zip,1.21MB
A10,自然公園地域,地域,2010,3,13,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_13_GML.zip,4.13MB
A10,自然公園地域,地域,2010,3,14,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_14_GML.zip,0.60MB
A10,自然公園地域,地域,2010,3,15,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_15_GML.zip,3.19MB
A10,自然公園地域,地域,2010,3,16,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_16_GML.zip,0.66MB
A10,自然公園地域,地域,2010,3,17,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_17_GML.zip,1.56MB
A10,自然公園地域,地域,2010,3,18,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_18_GML.zip,2.05MB
A10,自然公園地域,地域,2010,3,19,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_19_GML.zip,0.96MB
A10,自然公園地域,地域,2010,3,20,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_20_GML.zip,2.13MB
A10,自然公園地域,地域,2010,3,21,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_21_GML.zip,0.89MB
A10,自然公園地域,地域,2010,3,22,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_22_GML.zip,2.55MB
A10,自然公園地域,地域,2010,3,23,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_23_GML.zip,1.91MB
A10,自然公園地域,地域,2010,3,24,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_24_GML.zip,3.89MB
A10,自然公園地域,地域,2010,3,25,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_25_GML.zip,1.00MB
A10,自然公園地域,地域,2010,3,26,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_26_GML.zip,1.77MB
A10,自然公園地域,地域,2010,3,27,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_27_GML.zip,0.38MB
A10,自然公園地域,地域,2010,3,28,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_28_GML.zip,2.98MB
A10,自然公園地域,地域,2010,3,29,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_29_GML.zip,0.91MB
A10,自然公園地域,地域,2010,3,30,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_30_GML.zip,3.32MB
A10,自然公園地域,地域,2010,3,31,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_31_GML.zip,0.90MB
A10,自然公園地域,地域,2010,3,32,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_32_GML.zip,3.12MB
A10,自然公園地域,地域,2010,3,33,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_33_GML.zip,1.86MB
A10,自然公園地域,地域,2010,3,34,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_34_GML.zip,1.32MB
A10,自然公園地域,地域,2010,3,35,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_35_GML.zip,2.80MB
A10,自然公園地域,地域,2010,3,36,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_36_GML.zip,1.10MB
A10,自然公園地域,地域,2010,3,37,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_37_GML.zip,0.85MB
